City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
186,kayangel,8.0823,134.7173,299.08,88,100,8.35,PW,1691536657
187,keetmanshoop,-26.5833,18.1333,290.39,21,0,3.8,NA,1691536657
188,qaqortoq,60.7167,-46.0333,278.25,88,16,2.27,GL,1691536276
189,le port,-20.9373,55.2919,294.13,88,16,1.67,RE,1691536658
190,la passe,45.5549,-0.8967,291.47,64,14,3.61,FR,1691536296
191,belmonte,-15.8631,-38.8828,295.86,84,2,3.34,BR,1691536323
192,howrah,22.5892,88.3103,300.15,94,75,1.54,IN,1691536305
193,crane,31.3974,-102.3501,312.71,18,89,3.2,US,1691536279
194,paradip garh,20.3167,86.6167,300.74,74,100,3.83,IN,1691536659
195,dudinka,69.4058,86.1778,289.17,65,77,0.39,RU,1691536287
196,afaahiti,-17.75,-149.2833,297.08,88,98,7.18,PF,1691536272
197,roleystone,-32.1167,116.0667,282.52,94,14,0.0,AU,1691536660
198,mafinga,-7.25,35.0667,292.74,52,37,2.53,TZ,1691536660
199,happy valley-goose bay,53.3168,-60.3315,287.3,74,92,1.27,CA,1691536269
200,onguday,50.75,86.15,284.65,94,57,0.83,RU,1691536660
201,kavaratti,10.5669,72.642,301.14,75,100,7.86,IN,1691536324
202,muisne,0.6,-80.0333,298.91,83,65,3.92,EC,1691536661
203,howard springs,-12.497,131.047,297.1,53,81,3.77,AU,1691536317
204,eyl,7.9803,49.8164,297.67,78,25,11.26,SO,1691536275
205,grajau,-5.8194,-46.1386,303.94,34,35,1.1,BR,1691536661
206,priego de cordoba,37.4381,-4.1952,305.79,29,23,2.06,ES,1691536661
207,flying fish cove,-10.4217,105.6791,296.97,88,100,5.66,CX,1691536276
208,college,64.8569,-147.8028,291.25,88,100,2.57,US,1691536305
209,callaway,30.153,-85.5699,305.91,73,0,5.14,US,1691536662
210,olonkinbyen,70.9221,-8.7187,277.64,93,100,9.16,SJ,1691536274
211,lazaro cardenas,17.9583,-102.2,304.58,72,2,5.55,MX,1691536540
212,inegol,40.0781,29.5133,294.75,96,88,1.91,TR,1691536663
213,kapuskasing,49.4169,-82.4331,292.95,72,69,2.28,CA,1691536311
214,malmberget,67.1753,20.6549,290.46,100,75,2.06,SE,1691536663
215,morondava,-20.2833,44.2833,291.42,75,0,2.14,MG,1691536664
216,puerto san jose,13.9256,-90.8244,303.87,67,43,2.46,GT,1691536664
217,long beach,33.767,-118.1892,306.34,67,0,3.09,US,1691536664
218,vohibinany,-17.35,49.0333,290.47,98,93,1.27,MG,1691536664
219,kouango,4.9934,19.9619,294.37,97,79,0.87,CF,1691536665
220,prince rupert,54.3161,-130.3201,288.2,96,100,4.63,CA,1691536516
221,sarh,9.1429,18.3923,294.92,97,93,1.24,TD,1691536666
222,yancheng,33.3856,120.1253,298.09,94,57,3.56,CN,1691536666
223,larkird,35.4894,66.6641,290.97,49,0,0.76,AF,1691536666
224,arraial do cabo,-22.9661,-42.0278,294.27,86,99,7.03,BR,1691536163
225,rakaw,53.9674,27.0562,283.46,82,23,2.78,BY,1691536667
226,abrantes,39.4667,-8.2,294.64,74,0,1.08,PT,1691536664
227,tura,25.5198,90.2201,296.36,98,100,2.01,IN,1691536392
228,bere,9.3202,16.1552,296.28,91,89,1.8,TD,1691536667
229,kramfors,62.9316,17.7765,288.04,82,100,9.26,SE,1691536667
230,vilyuysk,63.7553,121.6247,290.1,45,30,3.56,RU,1691536668
231,bardai,11.65,7.2333,294.55,93,98,3.19,NG,1691536668
232,surkhpur,32.7161,74.4461,297.97,68,29,2.51,PK,1691536668
233,oodweyne,9.4092,45.064,296.81,47,24,7.63,SO,1691536668
234,westport,41.1415,-73.3579,298.57,70,40,6.17,US,1691536669
235,shira,54.4911,89.9531,285.72,74,2,2.19,RU,1691536669
236,sidi aissa,35.8855,3.7724,302.78,25,20,2.67,DZ,1691536669
237,maumere,-8.6199,122.2111,297.36,69,69,2.13,ID,1691536670
238,mahibadhoo,3.7833,72.9667,300.24,78,73,3.03,MV,1691536670
239,kapa'a,22.0752,-159.319,307.14,75,100,8.75,US,1691536273
240,brookings,44.3114,-96.7984,298.85,57,0,3.6,US,1691536670
241,hailar,49.2,119.7,287.96,79,7,1.86,CN,1691536560
242,sechura,-5.5569,-80.8222,297.67,67,95,7.49,PE,1691536382
243,puerto lempira,15.2667,-83.7667,303.23,70,40,2.06,HN,1691536671
244,nicoya,10.1483,-85.452,299.3,89,100,0.88,CR,1691536671
245,altamira,-3.2033,-52.2064,301.56,52,63,1.77,BR,1691536671
246,khorugh,37.4897,71.553,289.29,53,28,1.28,TJ,1691536671
247,sinop,41.7711,34.8709,290.69,93,34,1.98,TR,1691536672
248,mount isa,-20.7333,139.5,291.02,48,8,2.06,AU,1691536203
249,banda aceh,5.5577,95.3222,300.21,77,100,4.26,ID,1691536672
250,pokhara,28.2333,83.9833,295.25,93,100,0.31,NP,1691536597
251,santarem,-2.4431,-54.7083,301.22,83,20,2.06,BR,1691536433
252,noumea,-22.2763,166.4572,295.14,51,69,3.97,NC,1691536673
253,karatsu,33.4425,129.9697,301.09,72,100,4.02,JP,1691536380
254,ortakoy,38.7373,34.0387,297.29,59,0,4.65,TR,1691536673
255,ad dawadimi,24.5077,44.3924,302.79,10,2,3.93,SA,1691536673
256,betio village,1.358,172.9211,303.17,74,87,2.72,KI,1691536313
257,el calafate,-50.3408,-72.2768,274.69,87,31,1.21,AR,1691536276
258,letlhakeng,-24.0944,25.0298,285.05,27,17,3.09,BW,1691536674
